camera,Year,Island,Location,Start,s_time,End,e_time,hours,n_intrusions,intrusion_rate,early_intrusion,pred_1,pred_2,mean_success,n_pred,mean_pred,bin_pred,colony_n,#Nests,dens,place,per_cover,height_cover,veg_cm,rock_cm,n_lagu,n_terns
C1,2018,Cockroach,BVI,3-Jun,12:59,9-Jun,20:13,167,1,0.006,0.006,rat,NA,0,,1,1,227,1,1,p,1,76.2,60.96,15.24,2,0
C10-C,2017,Congo,USVI,17-May,8:12,5-Jun,12:16,478,14,0.029,0.029,rat,crab,0,,1,1,50,1,0,p,0,60.96,0,60.96,0,0
C2,2018,Cockroach,BVI,11-Jun,8:30,24-Jun,4:00,335,20,0.06,0,rat,NA,1,,0,0,227,2,0.75,p,0,19.05,11.43,7.62,2,0
C3,2018,Cockroach,BVI,3-Jun,11:43,24-Jun,9:45,527,0,0,0,NA,NA,1,,0,0,227,4,1.25,i,0,13.97,2.54,11.43,2,0
C4,2018,Cockroach,BVI,4-Jun,11:36,24-Jun,4:00,503,7,0.014,0,rat,NA,0.5,,0,0,227,2,0.22,i,0.125,2.54,2.54,0,2,0
C5-C,2017,Congo,USVI,17-May,9:05,23-May,14:26,167,1,0.006,0.006,RTHA,NA,0,,1,1,50,3,0.13,i,0.75,99,76.2,22.8,0,0
C6,2018,Cockroach,BVI,11-Jun,8:30,24-Jun,12:00,335,6,0.018,0,rat,NA,0.2,,0.6,1,227,1,0.25,i,0,30.48,0,30.48,2,0
C6-C,2017,Congo,USVI,17-May,8:29,24-May,10:21,191,6,0.031,0.031,rat,NA,0,,1,1,50,3,0.75,i,1,106.68,91.44,15.24,0,0
C7-C,2017,Congo,USVI,17-May,9:52,18-May,21:29,47,1,0.021,0.021,rat,NA,0,,1,1,50,1,0,p,0,182.88,91.44,91.44,0,0
F10,2018,Flat,USVI,28-May,5:18,25-Jun,12:41,695,0,0,0,NA,NA,1,,0,0,50,2,0.22,i,0.5,27.94,12.7,15.24,4,4
F1-1,2017,Flat,USVI,31-May,8:14,2-Jun,1:35,72,1,0.014,0.014,LAGU,NA,1,,0,0,31,4,0.78,p,0,2.54,2.54,0,4,4
F2,2018,Flat,USVI,22-May,8:30,3-Jul,13:19,1031,0,0,0,NA,NA,0.86,,0.14,1,50,4,0.78,i,0.75,15.24,12.7,2.54,4,4
F2-1,2017,Flat,USVI,30-May,8:35,7-Jul,8:45,935,1,0.001,0,IGUA,NA,0.5,,0,0,31,3,0.13,i,0.625,15.24,15.24,0,4,4
F3,2018,Flat,USVI,22-May,9:21,10-Jul,6:39,1199,1,0.001,0,IGUA,NA,0.5,,0,0,50,4,0.38,p,0,91.44,0,91.44,4,4
F7,2018,Flat,USVI,22-May,9:50,22-Jun,9:55,767,6,0.008,0.008,crab,IGUA,1,,0,0,50,3,4,p,0.125,48.26,2.54,45.72,4,4
G2,2017,Guana,BVI,16-Jun,9:12,30-Jun,9:20,359,0,0,0,NA,NA,1,,0,0,133,2,2,p,0.125,15.24,0,15.24,0,0
G4,2017,Guana,BVI,16-Jun,10:12,3-Jul,16:52,431,0,0,0,NA,NA,1,,0,0,133,2,8,p,1,91.44,91.44,0,0,0
L02,2018,LeDuck,USVI,21-May,10:03,29-May,9:08,215,0,0,0,NA,NA,0,,0.2,1,296,1,0.44,p,0.5,96.52,5.08,91.44,1,1
L1,2017,LeDuck,USVI,30-May,9:23,19-Jun,10:09,503,0,0,0,NA,NA,1,,0,0,495,6,0.5,i,0.875,68.58,60.96,7.62,1,1
L5,2017,LeDuck,USVI,30-May,8:53,10-Jun,9:48,287,4,0.014,0.014,RTHA,YCNH,0,,1,1,495,2,0.5,i,0.25,50.8,5.08,45.72,1,1
L6,2017,LeDuck,USVI,30-May,9:13,30-Jun,17:50,767,2,0.003,0.003,YCNH,NA,0.6,,0.6,1,495,3,0.33,i,0.625,95.25,91.44,3.81,1,1
L6,2018,LeDuck,USVI,21-May,9:25,27-Jun,6:45,911,2,0.002,0.002,YCNH,NA,0.4,,0,0,296,3,0.67,i,0.25,11.43,5.08,6.35,1,1
LE ,2018,LeDuck,USVI,21-May,16:03,8-Jun,18:00,455,0,0,0,NA,NA,0,,0,0,296,1,0.25,i,1,147.32,30.48,116.84,1,1
LK-1,2018,LeDuck,USVI,21-May,10:05,25-Jun,11:00,863,2,0.002,0.002,YCNH,NA,0.3,,0,0,296,1,0.11,p,0.75,10.16,5.08,5.08,1,1
LL ,2018,LeDuck,USVI,21-May,9:42,24-Jun,14:39,839,0,0,0,NA,NA,0.5,,0,0,296,3,0.25,i,0.25,20.32,7.62,12.7,1,1
LN,2018,LeDuck,USVI,21-May,10:00,20-Jun,11:30,743,3,0.004,0.004,YCNH,NA,0,,0.5,1,296,1,0.33,i,0.875,10.16,8.89,1.27,1,1
LS,2018,LeDuck,USVI,21-May,10:00,29-Jun,8:52,959,0,0,0,NA,NA,0,,1,1,296,2,0.08,p,0.75,45.72,15.24,30.48,1,1
S1,2018,Shark,USVI,25-May,8:23,15-Jun,13:00,527,0,0,0,NA,NA,1,,0,0,440,6,1.25,p,0.125,10.43,1.54,8.89,2,0
S1-1,2017,Shark,USVI,5-Jun,12:36,14-Jun,12:16,239,0,0,0,NA,NA,0,,0,0,21,3,1,p,0.625,27.94,11.43,16.51,2,0
S2,2017,Shark,USVI,5-Jun,12:22,15-Jun,18:27,263,2,0.008,0.008,LAGU,NA,0,,1,1,21,1,1,p,0.5,45.72,15.24,30.48,2,0
S3,2017,Shark,USVI,5-Jun,12:22,14-Jun,16:17,239,10,0.042,0.042,LAGU,GREG,0,,0.5,1,21,4,1.78,i,0.25,11.43,0,11.43,2,0
S4,2018,Shark,USVI,25-May,8:31,30-Jun,13:02,887,2,0.002,0.002,YCNH,GREG,0,,0.75,1,440,3,0.665,i,0.4375,28.075,8.39,19.685,2,0
S4-1,2017,Shark,USVI,5-Jun,12:22,8-Jun,14:00,95,0,0,0,NA,NA,0,,0,0,21,1,0.06,p,0.5,124.46,121.92,2.54,2,0
S5,2018,Shark,USVI,25-May,8:28,24-Jun,7:00,743,0,0,0,NA,NA,0.5,,0.5,1,440,3,0.75,p,1,54.61,54.61,0,2,0
SO,2018,Shark,USVI,25-May,8:26,11-Jun,9:22,431,2,0.005,0.005,GREG,NA,0,,1,1,440,4,2.22,i,0,6.35,0,6.35,2,0
ST,2018,Shark,USVI,1-Jun,9:13,12-Jun,17:53,287,0,0,0,NA,NA,1,,0,0,440,5,1.25,p,0.5,17.78,2.54,15.24,2,0
SY,2018,Shark,USVI,25-May,8:41,3-Jun,8:45,239,1,0.004,0.004,GREG,NA,0,,1,1,440,3,3,i,0,10.16,0,10.16,2,0
